C.P.;Dirección;Horario;Latitud;Localidad;Longitud (WGS84);Margen;Municipio;Precio Adblue;Precio Amoniaco;Precio Biodiesel;Precio Bioetanol;Precio Biogas Natural Comprimido;Precio Biogas Natural Licuado;Precio Diésel Renovable;Precio Gas Natural Comprimido;Precio Gas Natural Licuado;Precio Gases licuados del petróleo;Precio Gasoleo A;Precio Gasoleo B;Precio Gasoleo Premium;Precio Gasolina 95 E10;Precio Gasolina 95 E25;Precio Gasolina 95 E5;Precio Gasolina 95 E5 Premium;Precio Gasolina 95 E85;Precio Gasolina 98 E10;Precio Gasolina 98 E5;Precio Gasolina Renovable;Precio Hidrogeno;Precio Metanol;Provincia;Remisión;Rótulo;Tipo Venta;% BioEtanol;% Éster metílico;IDEESS;IDMunicipio;IDProvincia;IDCCAA
05296;AUTOVIA DEL NOROESTE KM. 111;L-D: 24H;40.955639;ADANERO;-4,614111;D;Adanero;;;;;;;;;;;1.719;;1.786;;;1.579;1.668;;;;;;;ÁVILA;OM;CEPSA;P;0,0;0,0;4981;382;05;08
05296;AUTOVIA NOROESTE KM. 111;L-D: 24H;40.955111;ADANERO;-4,614556;I;Adanero;;;;;;;;;;;1.719;;1.786;;;1.579;1.668;;;1.679;;;;ÁVILA;OM;CEPSA;P;0,0;0,0;4982;382;05;08
05430;CARRETERA IGLESUELA (LA) KM. 9;L-D: 07:30-22:00;40.301472;ADRADA (LA);-4,639861;N;Adrada (La);;;;;;;;;;;1.699;;;;;1.609;;;;1.667;;;;ÁVILA;dm;LA ADRADA;P;0,0;0,0;5011;383;05;08
05430;AVENIDA DE MADRID, 60;L-D: 07:00-22:00;40.30375;ADRADA (LA);-4,641667;D;Adrada (La);1.265;;;;;;;;;;1.717;1.495;1.785;;;1.627;;;;1.667;;;;ÁVILA;dm;REPSOL;P;0,0;0,0;5060;383;05;08
05400;AVDA. DE LA CONSTITUCION, 54;L-D: 07:00-23:00;40.209;ARENAS DE SAN PEDRO;-5,079611;I;Arenas de San Pedro;;;;;;;;;;;1.579;;1.769;;;1.489;;;;1.659;;;;ÁVILA;dm;FERNANDEZ BERMEJO;P;0,0;0,0;4939;390;05;08
05400;CALLE CANDELEDA, 25;L-D: 24H;40.207083;ARENAS DE SAN PEDRO;-5,095917;I;Arenas de San Pedro;;;;;;;;;;;1.529;;;;;1.449;;;;;;;;ÁVILA;dm;PETROSTAR ENERGÍA;P;0,0;0,0;15239;390;05;08
05418;CARRETERA AVILA-CORDOBA KM. 77;L-D: 07:00-22:30;40.182917;RAMACASTAÑAS;-5,044083;I;Arenas de San Pedro;;;;;;;;;;;1.579;1.44;1.769;;;1.489;;;;1.659;;;;ÁVILA;dm;FERNANDEZ BERMEJO;P;0,0;0,0;4935;390;05;08
05200;POLG.IND. TIERRA AREVALO, F-10 (A-VI km 129);L-D: 24H;41.078083;AREVALO;-4,733556;I;Arévalo;0.729;;;;;;;;;;1.539;;1.589;;;1.489;;;;;;;;ÁVILA;dm;VALCARCE;P;0,0;0,0;9956;392;05;08
05200;CR N-6 123   A;"L-V: 07:00-23:00; S: 07:00-15:00";41.04375;AREVALO;-4,698639;D;Arévalo;;;;;;;1.809;;;;1.699;;;;;1.539;;;;1.699;;;;ÁVILA;OM;REPSOL;P;0,0;0,0;5978;392;05;08
05200;PLAZA FRAY JUAN GIL, 2, ;L-S: 08:00-22:00;41.059611;AREVALO;-4,720528;D;Arévalo;;;;;;;;;;;1.709;;;;;1.549;;;;;;;;ÁVILA;OM;REPSOL;P;0,0;0,0;6048;392;05;08
